unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
1512860400	12850.04	13059.15	13059.15	12914.74	22.628381630000025	2017-12-10 00:00:00	12794.867454	12720.4860437	74.3814102373	2.76547282261	71.6159374147	-0.139905846639	Maximum	68.5706274029419
1512861300	12886.15	12997.54	12902.77	12996.99	16.16638167999996	2017-12-10 00:15:00	12825.9632303	12740.9678183	84.9954120123	19.2114606605	65.7839513517	-0.0814341929112		67.24267003118226
1512862200	12882.23	12997.31	12997.31	12899.31	14.530717539999964	2017-12-10 00:30:00	12837.2473487	12752.6968688	84.5504799327	32.279264515	52.2712154177	-0.205410828269		61.6429478966163
1512863100	12548.39	12963.59	12899.01	12926.2	16.698955929999975	2017-12-10 00:45:00	12850.932372	12765.5489526	85.3834194153	42.900095495	42.4833239203	-0.187252035738		56.053108919131304
1512864000	12500.01	12926.18	12926.18	12543.88	13.496384219999971	2017-12-10 01:00:00	12803.6935455	12749.1290301	54.5645153699	45.23297947	9.33153589985	-0.78034826283		49.786152292164395
1512864900	12439.74	12660.0	12548.37	12521.0	16.477894379999974	2017-12-10 01:15:00	12760.2022308	12732.2305835	27.9716473528	41.7807130466	-13.8090656937	-2.47982774132		53.00985040348571
1512865800	12520.91	12636.44	12521.0	12550.14	16.267138119999974	2017-12-10 01:30:00	12727.8849645	12718.7423921	9.14257244089	35.2530849254	-26.1105124845	-0.89082397489		59.199295771371794
1512866700	12490.45	12558.61	12550.0	12550.71	12.059336299999973	2017-12-10 01:45:00	12700.6272777	12706.2955482	-5.66827055213	27.0688138299	-32.7370843821	-0.253789422993		59.12065607793612
1512867600	12333.0	12550.69	12550.36	12411.0	19.782003540000005	2017-12-10 02:00:00	12656.069235	12684.4218039	-28.3525689592	15.9845372721	-44.3371062313	-0.354338881064		53.758573327340244
1512868500	12200.0	12467.03	12411.0	12416.17	15.042685389999956	2017-12-10 02:15:00	12619.1616604	12664.5512999	-45.3896395748	3.70970190271	-49.0993414775	-0.107409699258		46.71207496239614
1512869400	12258.46	12499.88	12448.66	12262.96	10.744967269999984	2017-12-10 02:30:00	12564.3614049	12634.8037962	-70.4423913156	-11.1207167409	-59.3216745747	-0.208196949073		39.77407866653307
1512870300	12123.1	12307.97	12262.96	12205.81	15.733356579999965	2017-12-10 02:45:00	12509.1996503	12603.026478	-93.8268276787	-27.6619389285	-66.1648887502	-0.115357737701		35.412397801344824
1512871200	12245.24	12349.99	12259.16	12345.96	20.272728800000014	2017-12-10 03:00:00	12484.085858	12583.9845167	-99.8986587019	-42.1092828832	-57.7893758187	0.126585460804	Minimum	32.90939052578565
1512872100	12168.22	12399.0	12345.97	12180.53	10.498011839999988	2017-12-10 03:15:00	12437.3849567	12554.0989969	-116.714040174	-57.0302343413	-59.6838058323	-0.0327816313428	Maximum	22.456941366314837
1512873000	12090.07	12193.79	12179.04	12090.07	9.322709059999985	2017-12-10 03:30:00	12383.9518865	12519.7264786	-135.774592151	-72.7791059032	-62.9954862477	-0.0554870851342		24.949787497727442
1512873900	11848.94	12090.01	12090.0	11874.58	12.520438009999975	2017-12-10 03:45:00	12305.5869809	12471.9378506	-166.350869715	-91.4934586656	-74.8574110498	-0.18829801163		15.383536391220403
1512874800	11700.0	11876.31	11870.53	11726.15	34.230562330000055	2017-12-10 04:00:00	12216.44283	12416.6943061	-200.25147613	-113.245062158	-87.0064139712	-0.162295259094		15.748370778844404
1512875700	11701.0	11875.81	11717.63	11776.96	23.668441299999994	2017-12-10 04:15:00	12148.8300869	12369.3065797	-220.476492823	-134.691348291	-85.7851445317	0.014036544937	Minimum	29.178672210927814
1512876600	11530.1	11776.61	11776.61	11554.07	26.384956140000003	2017-12-10 04:30:00	12057.3285351	12308.9186849	-251.590149858	-158.071108605	-93.5190412536	-0.0901542658014	Maximum	28.504606980403537
1512877500	11500.0	11732.89	11560.05	11500.01	23.659276100000035	2017-12-10 04:45:00	11971.587222	12248.9995231	-277.412301098	-181.939347103	-95.4729539949	-0.0208932075776		27.191684636197948
1512878400	11500.0	12059.93	11500.01	11776.82	30.57735610000004	2017-12-10 05:00:00	11941.623034	12214.0232621	-272.400228126	-200.031523308	-72.3687048179	0.24199784557	Minimum	28.816346297110897
1512879300	11550.0	11776.82	11776.82	11550.0	12.775028459999973	2017-12-10 05:15:00	11881.3733364	12164.8363538	-283.463017357	-216.717822118	-66.7451952391	0.077706373121		27.401344485452995
