	unixtime	low	high	open	close	volume	intervallStart_datetime
5174	1514408400	13111.99	13189.99	13153.79	13189.99	4.399238429999992	2017-12-27 22:00:00
5175	1514408700	13159.63	13244.99	13189.99	13244.99	7.125669279999991	2017-12-27 22:05:00
5176	1514409000	13250.0	13345.0	13250.0	13335.16	11.15672484999999	2017-12-27 22:10:00
5177	1514409300	13300.0	13346.0	13339.45	13300.01	6.722414869999993	2017-12-27 22:15:00
5178	1514409600	13300.0	13400.0	13300.01	13399.0	11.383408359999986	2017-12-27 22:20:00
5179	1514409900	13398.99	13424.81	13399.0	13399.99	8.171130589999995	2017-12-27 22:25:00
5180	1514410200	13290.0	13400.0	13400.0	13310.01	6.409181879999993	2017-12-27 22:30:00
5181	1514410500	13310.0	13310.01	13310.0	13310.0	8.80279526999999	2017-12-27 22:35:00
5182	1514410800	13250.0	13310.01	13310.01	13250.0	5.141556999999996	2017-12-27 22:40:00
5183	1514411100	13240.0	13320.0	13250.47	13317.85	6.9494512999999944	2017-12-27 22:45:00
5184	1514411400	13300.0	13317.86	13317.86	13300.01	4.792212129999995	2017-12-27 22:50:00
5185	1514411700	13274.5	13320.0	13300.01	13319.99	6.748883189999995	2017-12-27 22:55:00
5186	1514412000	13276.28	13348.0	13320.0	13301.23	5.893015549999994	2017-12-27 23:00:00
5187	1514412300	13300.0	13341.18	13301.22	13300.0	4.378930939999996	2017-12-27 23:05:00
5188	1514412600	13284.14	13300.01	13300.0	13285.0	4.100090989999999	2017-12-27 23:10:00
5189	1514412900	13284.99	13350.0	13285.0	13346.86	10.804293159999991	2017-12-27 23:15:00
5190	1514413200	13346.85	13346.86	13346.86	13346.85	4.535558579999995	2017-12-27 23:20:00
5191	1514413500	13346.85	13350.0	13346.86	13350.0	5.885972529999995	2017-12-27 23:25:00
5192	1514413800	13349.99	13497.9	13350.0	13492.0	12.761435039999986	2017-12-27 23:30:00
5193	1514414100	13446.88	13494.38	13491.23	13461.86	4.353097139999994	2017-12-27 23:35:00
5194	1514414400	13445.0	13469.76	13456.07	13445.01	6.014513859999996	2017-12-27 23:40:00
5195	1514414700	13400.0	13440.53	13440.01	13427.42	11.11386832999999	2017-12-27 23:45:00
5196	1514415000	13401.0	13459.23	13427.42	13428.5	2.5784300499999984	2017-12-27 23:50:00
5197	1514415300	13400.0	13500.0	13420.1	13419.41	3.7659776799999953	2017-12-27 23:55:00
5198	1514415600	13400.0	13462.06	13419.41	13429.97	3.3942323199999986	2017-12-28 00:00:00
5199	1514415900	13402.87	13417.81	13404.55	13415.0	2.457903179999998	2017-12-28 00:05:00
5200	1514416200	13414.99	13480.0	13415.0	13470.06	3.1799462799999985	2017-12-28 00:10:00
5201	1514416500	13469.99	13472.26	13471.28	13469.99	2.4570177	2017-12-28 00:15:00
5202	1514416800	13469.99	13470.0	13469.99	13470.0	3.3972786299999966	2017-12-28 00:20:00
5203	1514417100	13469.99	13500.0	13470.0	13500.0	3.4973035399999968	2017-12-28 00:25:00
5204	1514417400	13485.01	13500.0	13500.0	13500.0	2.06608135	2017-12-28 00:30:00
5205	1514417700	13499.99	13590.0	13499.99	13587.22	3.5372890800000003	2017-12-28 00:35:00
5206	1514418000	13550.0	13587.25	13587.23	13578.59	3.9627712299999973	2017-12-28 00:40:00
5207	1514418300	13578.59	13594.78	13578.59	13594.67	4.302087739999998	2017-12-28 00:45:00
5208	1514418600	13521.0	13594.67	13594.67	13533.12	2.17227267	2017-12-28 00:50:00
5209	1514418900	13533.11	13554.52	13533.11	13533.11	2.1063716000000006	2017-12-28 00:55:00
5210	1514419200	13530.02	13571.0	13530.02	13569.01	1.3241496300000004	2017-12-28 01:00:00
5211	1514419500	13569.0	13569.01	13569.0	13569.0	3.2473473699999973	2017-12-28 01:05:00
5212	1514419800	13569.0	13590.0	13569.0	13585.58	1.4274699600000005	2017-12-28 01:10:00
5213	1514420100	13585.63	13589.98	13589.98	13585.64	3.532556609999998	2017-12-28 01:15:00
5214	1514420400	13585.63	13585.64	13585.64	13585.64	2.5478752899999995	2017-12-28 01:20:00
5215	1514420700	13402.0	13585.63	13585.63	13418.78	4.893259959999998	2017-12-28 01:25:00
5216	1514421000	13301.0	13418.72	13410.58	13348.41	3.626738029999998	2017-12-28 01:30:00
5217	1514421300	13348.68	13395.98	13362.37	13393.83	2.0167125300000004	2017-12-28 01:35:00
5218	1514421600	13370.01	13406.62	13393.83	13391.5	1.7324136800000003	2017-12-28 01:40:00
5219	1514421900	13221.95	13391.5	13391.5	13279.19	2.68137818	2017-12-28 01:45:00
5220	1514422200	13279.98	13310.69	13280.0	13310.58	6.542633479999997	2017-12-28 01:50:00
5221	1514422500	13310.59	13400.0	13310.59	13358.62	1.6770955200000002	2017-12-28 01:55:00
5222	1514422800	13358.62	13406.35	13358.62	13376.18	2.0975061199999994	2017-12-28 02:00:00
5223	1514423100	13376.17	13441.0	13376.17	13431.42	2.0020617400000003	2017-12-28 02:05:00
5224	1514423400	13360.01	13431.36	13431.36	13360.02	1.1871756100000004	2017-12-28 02:10:00
5225	1514423700	13360.02	13401.65	13360.02	13401.65	1.42377153	2017-12-28 02:15:00
5226	1514424000	13401.81	13461.0	13401.81	13461.0	0.7248553700000001	2017-12-28 02:20:00
5227	1514424300	13460.99	13550.0	13460.99	13550.0	1.62485824	2017-12-28 02:25:00
5228	1514424600	13549.99	13554.0	13550.0	13553.99	1.0136148699999998	2017-12-28 02:30:00
5229	1514424900	13472.29	13553.99	13553.99	13486.48	2.5062796400000003	2017-12-28 02:35:00
5230	1514425200	13480.07	13486.48	13486.48	13480.08	0.47026872999999997	2017-12-28 02:40:00
5231	1514425500	13480.07	13499.93	13480.07	13499.71	0.65437036	2017-12-28 02:45:00
5232	1514425800	13474.1	13499.67	13496.62	13477.07	0.8125166700000002	2017-12-28 02:50:00
5233	1514426100	13479.92	13500.0	13479.93	13500.0	1.27723641	2017-12-28 02:55:00
5234	1514426400	13499.99	13583.0	13499.99	13582.65	1.7823079700000002	2017-12-28 03:00:00
5235	1514426700	13443.87	13582.66	13582.66	13458.9	1.8466355500000002	2017-12-28 03:05:00
5236	1514427000	13426.99	13477.17	13465.38	13428.88	1.9249688900000002	2017-12-28 03:10:00
5237	1514427300	13386.14	13428.88	13428.87	13402.38	1.2081837300000005	2017-12-28 03:15:00
5238	1514427600	13380.0	13402.93	13402.93	13402.92	0.86429303	2017-12-28 03:20:00
5239	1514427900	13402.92	13431.98	13402.93	13424.11	1.7499471500000006	2017-12-28 03:25:00
5240	1514428200	13356.51	13424.11	13424.11	13356.52	1.1220251500000002	2017-12-28 03:30:00
5241	1514428500	13234.0	13356.54	13356.52	13234.0	2.691819709999999	2017-12-28 03:35:00
5242	1514428800	13172.4	13234.01	13234.0	13197.05	4.333766530000001	2017-12-28 03:40:00
5243	1514429100	13131.11	13197.05	13197.04	13131.11	2.9809322199999992	2017-12-28 03:45:00
5244	1514429400	12955.0	13130.0	13130.0	12958.32	9.817316469999996	2017-12-28 03:50:00
5245	1514429700	12958.31	13300.0	12958.31	13114.9	6.368713749999994	2017-12-28 03:55:00
5246	1514430000	13095.57	13183.69	13112.9	13175.95	2.762590059999999	2017-12-28 04:00:00
5247	1514430300	12978.23	13175.96	13175.96	13158.0	3.6810300399999973	2017-12-28 04:05:00
5248	1514430600	13135.5	13282.0	13157.88	13280.11	4.0092846899999985	2017-12-28 04:10:00
5249	1514430900	13224.54	13280.1	13280.1	13233.43	1.5972851100000003	2017-12-28 04:15:00
5250	1514431200	13188.2	13300.0	13233.43	13201.61	2.1608146500000003	2017-12-28 04:20:00
5251	1514431500	13070.0	13201.45	13201.45	13070.0	0.9472349000000001	2017-12-28 04:25:00
5252	1514431800	13017.0	13084.94	13084.94	13055.0	2.48603496	2017-12-28 04:30:00
5253	1514432100	12863.0	13017.59	13017.43	12863.01	6.773047499999999	2017-12-28 04:35:00
5254	1514432400	12863.01	13000.0	12863.01	12998.86	4.807257409999999	2017-12-28 04:40:00
