unixtime;low;high;open;close;volume;intervallStart_datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall;Signal;
1514260800;12514,99;12690;12663;12690;6,19272442;26.12.2017 05:00;12631,66333;55,40421019;33,73488696;1,556803902;56,36059391;14,68667212;0,352418767;UP;UP;UP;0;
1514261700;12667,44;12840,89;12690;12714,55;13,92686843;26.12.2017 05:15;12740,96;84,96721079;29,56300061;0,533587619;62,95232597;6,591732066;0,116956398;UP;UP;UP;0;
1514262600;12670,74;12890;12722,06;12752,96;11,15630834;26.12.2017 05:30;12771,23333;109,5425992;24,57538839;0,28923379;74,86991336;11,91758739;0,189311311;UP;UP;UP;0;
1514263500;12710;12858;12752,49;12800,25;10,4289259;26.12.2017 05:45;12789,41667;132,4712153;22,92861616;0,209312325;81,46122673;6,591313369;0,088036877;UP;UP;UP;0;
1514264400;12800,24;12999,01;12800,25;12999,01;30,22551;26.12.2017 06:00;12932,75333;168,1690064;35,69779105;0,269475833;81,78466941;0,323442672;0,003970511;DOWN;DOWN;DOWN;2;1
1514265300;12636,12;13071,02;12999,48;12880,98;29,4085904;26.12.2017 06:15;12862,70667;184,0814218;15,9124154;0,09462157;62,4474642;-19,33720521;-0,236440464;UP;UP;UP;0;
1514266200;12800;12999,26;12880,97;12817,56;10,48910575;26.12.2017 06:30;12872,27333;188,975795;4,894373236;0,026588089;71,82161412;9,374149926;0,150112579;UP;UP;UP;0;
1514267100;12817,54;12983,69;12817,56;12900;21,41550613;26.12.2017 06:45;12900,41;199,5280487;10,55225363;0,055839181;75,72208717;3,900473051;0,054307789;UP;UP;UP;0;
1514268000;12900;12981,77;12900,01;12963,7;5,36165559;26.12.2017 07:00;12948,49;211,0605496;11,53250095;0,057798896;78,53158885;2,809501675;0,037102803;UP;UP;UP;0;
1514268900;12933;12981,77;12963,68;12979,75;7,73032301;26.12.2017 07:15;12964,84;218,9551923;7,894642735;0,037404635;80,25057453;1,718985681;0,021889098;UP;UP;UP;0;
1514269800;12979,75;13099;12979,75;13044,99;13,54252077;26.12.2017 07:30;13041,24667;223,518215;4,563022647;0,020839984;82,41947275;2,168898223;0,027026576;UP;UP;DOWN;0;
1514270700;13024,8;13100;13039,99;13087,46;13,14365112;26.12.2017 07:45;13070,75333;223,0730095;-0,44520552;-0,001991809;83,61661541;1,197142661;0,014524998;DOWN;DOWN;DOWN;0;
1514271600;13040;13100;13087,47;13040,01;13,96783255;26.12.2017 08:00;13060,00333;213,8317861;-9,241223345;-0,0414269;77,71822419;-5,898391223;-0,070540899;DOWN;DOWN;DOWN;0;
1514272500;12949;13049,99;13040,01;12956,7;23,13922729;26.12.2017 08:15;12985,23;195,013382;-18,81840417;-0,088005645;71,25617078;-6,462053414;-0,083147209;DOWN;UP;DOWN;0;
1514273400;12933,2;13015;12956,7;12976,51;13,07062354;26.12.2017 08:30;12974,90333;178,0475374;-16,96584451;-0,086998361;61,4592258;-9,79694498;-0,137489075;UP;UP;DOWN;0;
1514274300;12970,74;13015,78;12976,5;12977,36;14,50904909;26.12.2017 08:45;12987,96;159,9140913;-18,13344617;-0,101846094;62,71490733;1,255681529;0,020431132;DOWN;DOWN;DOWN;0;
1514275200;12955,35;13020;12981,74;12973,43;18,23556402;26.12.2017 09:00;12982,92667;138,3946893;-21,51940196;-0,134568516;56,1670706;-6,54783673;-0,104406385;DOWN;DOWN;DOWN;0;
1514276100;12850,42;12980;12965,23;12881,08;12,07498109;26.12.2017 09:15;12903,83333;112,4108541;-25,98383517;-0,187751678;49,45029691;-6,716773687;-0,119585615;DOWN;DOWN;DOWN;0;
1514277000;12830,88;12881,08;12881,08;12835,01;15,86419622;26.12.2017 09:30;12848,99;86,63491811;-25,77593603;-0,229301131;44,52283255;-4,92746436;-0,099644788;DOWN;DOWN;DOWN;0;
1514277900;12700;12874,39;12842,91;12731,46;20,76841679;26.12.2017 09:45;12768,61667;52,79342932;-33,8414888;-0,390621813;47,55693913;3,034106579;0,068147205;DOWN;UP;UP;0;
1514278800;12681,65;12780,83;12737,56;12720,01;14,09419499;26.12.2017 10:00;12727,49667;21,83522461;-30,9582047;-0,586402609;35,22752963;-12,3294095;-0,259255741;UP;UP;UP;0;
1514279700;12720;12839,58;12720,01;12805,26;19,13021391;26.12.2017 10:15;12788,28;3,057266401;-18,77795821;-0,85998466;36,30129973;1,0737701;0,030480993;UP;UP;UP;1;
1514280600;12805,29;12971;12805,29;12971;13,71002616;26.12.2017 10:30;12915,76333;0,883775134;-2,173491267;-0,710926358;35,5395364;-0,761763334;-0,020984464;UP;UP;UP;0;
1514281500;12950,05;13041,97;12971;12999,99;19,86976699;26.12.2017 10:45;12997,33667;-0,703170639;-1,586945774;-1,79564429;38,06081802;2,521281619;0,070943008;DOWN;DOWN;UP;0;
1514282400;12970;13049;12999,99;12970;16,9038331;26.12.2017 11:00;12996,33333;-2,38335377;-1,68018313;-2,389438689;32,55032019;-5,510497823;-0,144781382;DOWN;UP;UP;0;
1514283300;12960,9;13000;12969,98;12963;12,29860048;26.12.2017 11:15;12974,63333;-0,727454601;1,655899169;0,694776911;26,09551759;-6,454802602;-0,198302277;UP;UP;DOWN;0;
1514284200;12962,48;13034,32;12962,48;13034;12,00326679;26.12.2017 11:30;13010,26667;6,469470716;7,196925316;9,893298234;31,62948321;5,533965622;0,212065754;DOWN;DOWN;DOWN;0;
1514285100;12960;13034;13034;12996;11,55421167;26.12.2017 11:45;12996,66667;8,286023003;1,816552288;0,280788393;31,91437022;0,284887007;0,009007008;DOWN;DOWN;DOWN;0;
1514286000;12911,76;12996;12996;12929,2;10,16512027;26.12.2017 12:00;12945,65333;3,53030225;-4,755720753;-0,573944913;33,64946799;1,735097767;0,054367288;DOWN;DOWN;DOWN;2;1
1514286900;12855;12937,99;12930;12856,74;20,8413148;26.12.2017 12:15;12883,24333;-4,545509503;-8,075811753;-2,2875695;27,89848252;-5,750985465;-0,170908659;UP;UP;DOWN;0;
1514287800;12855,21;12949,99;12856,74;12926,01;13,925291;26.12.2017 12:30;12910,40333;-1,176887434;3,368622069;0,741087895;36,66942577;8,770943242;0,314387825;UP;DOWN;UP;0;
1514288700;12901;12949;12939,1;12935,09;7,3263255;26.12.2017 12:45;12928,36333;3,717125706;4,89401314;4,158437757;43,9674766;7,298050834;0,199022774;DOWN;DOWN;UP;0;
1514289600;12845;12943,9;12935,08;12845,01;9,0335501;26.12.2017 13:00;12877,97;-0,986396367;-4,703522074;-1,265365351;44,96661318;0,999136583;0,022724447;UP;UP;UP;0;
1514290500;12842,81;12967;12845,01;12965,99;11,93716693;26.12.2017 13:15;12925,26667;5,572868083;6,55926445;6,649724863;50,95193827;5,985325084;0,133105979;UP;UP;UP;1;
1514291400;12935,91;13000;12965,98;12999,99;21,43484334;26.12.2017 13:30;12978,63333;10,71691703;5,144048952;0,923052345;59,41695953;8,465021268;0,166137375;UP;UP;UP;0;
1514292300;12999,99;13015,98;13000;13015;12,55317437;26.12.2017 13:45;13010,32333;15,48639448;4,769477446;0,445041931;60,96585536;1,548895828;0,026068244;UP;UP;UP;0;
1514293200;13014,99;13111;13015;13110;17,26697002;26.12.2017 14:00;13078,66333;29,23779569;13,75140121;0,88796661;59,7000032;-1,265852164;-0,020763297;DOWN;UP;UP;0;
