;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
231;1514181600;12149,99;12344,64;12150;12344,64;3,71805042;25.12.2017 06:00;12279,75667;-101,2559628;10,59708878;-0,104656442;47,50191538;-5,332108704;-0,112250394;DOWN;DOWN;DOWN
232;1514180700;12100,1;12178,14;12157,09;12150;1,66185897;25.12.2017 05:45;12142,74667;-111,9874124;-10,73144958;0,095827284;39,3084807;-8,193434688;-0,208439363;UP;UP;UP
233;1514179800;12137,43;12249,21;12248,3;12137,43;2,21190518;25.12.2017 05:30;12174,69;-117,0214251;-5,034012756;0,043017873;32,52391582;-6,784564878;-0,208602338;UP;UP;UP
234;1514178900;12170,19;12248,3;12234,16;12248,3;2,47952182;25.12.2017 05:15;12222,26333;-106,2456504;10,77577471;-0,101423208;42,0932455;9,569329683;0,227336466;UP;UP;UP
235;1514178000;12227,67;12377,84;12377,83;12237,71;3,76337656;25.12.2017 05:00;12281,07333;-95,21769127;11,02795917;-0,115818384;53,84352112;11,75027562;0,218230074;UP;UP;DOWN
236;1514177100;12302,02;12482,09;12304,83;12377,83;4,54580743;25.12.2017 04:45;12387,31333;-75,60565791;19,61203336;-0,259399017;64,21094583;10,36742471;0,161458838;DOWN;DOWN;DOWN
237;1514176200;12241,08;12400;12296,1;12304,81;5,74534215;25.12.2017 04:30;12315,29667;-64,42823753;11,17742038;-0,17348636;55,89710413;-8,313841701;-0,148734748;DOWN;DOWN;DOWN
238;1514175300;12133,28;12296,12;12133,28;12296,1;1,6756666;25.12.2017 04:15;12241,83333;-53,89113135;10,53710618;-0,195525793;45,80064759;-10,09645654;-0,220443532;DOWN;DOWN;DOWN
239;1514174400;12000,01;12133,28;12010,01;12133,27;6,56151698;25.12.2017 04:00;12088,85333;-62,30867295;-8,41754161;0,135094221;49,8284099;4,027762313;0,080832648;DOWN;UP;UP
240;1514173500;12010,01;12102,37;12102,36;12010,01;5,70986768;25.12.2017 03:45;12040,79667;-75,03071569;-12,72204274;0,169557795;48,54184223;-1,28656767;-0,026504302;UP;UP;UP
241;1514172600;12100;12179,4;12100,06;12100;3,25934807;25.12.2017 03:30;12126,46667;-73,9771541;1,053561589;-0,014241716;46,82288862;-1,718953611;-0,036711823;DOWN;UP;UP
242;1514171700;12100;12132,82;12132,81;12100,06;7,80688526;25.12.2017 03:15;12110,96;-77,54786877;-3,570714669;0,046045297;49,2105458;2,387657178;0,048519218;UP;UP;UP
243;1514170800;12128,21;12264,99;12156,66;12132,81;9,87672539;25.12.2017 03:00;12175,33667;-75,35749156;2,190377216;-0,029066483;52,47589669;3,265350897;0,062225728;DOWN;UP;UP
